State,#,||,!=,),(,return,},=,main,-,%,const,int,,,<,&&,;,if,{,else,IntConst,$,Ident,void,floatConst,float,+,!,==,/,<=,>,*,>=
6,"r4","error","error","error","r4","r4","r4","error","error","r4","error","r4","r4","error","error","error","r4","r4","r4","error","r4","error","r4","r4","r4","r4","r4","r4","error","error","error","error","error","error"
5,"r5","error","error","error","r5","r5","r5","error","error","r5","error","r5","r5","error","error","error","r5","r5","r5","error","r5","error","r5","r5","r5","r5","r5","r5","error","error","error","error","error","error"
4,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","r10","error","error","error","error","error","error","error","error","error","error","error"
3,"acc","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
2,"error","error","error","error","error","error","error","error","s13","error","error","error","error","error","error","error","error","error","error","error","error","error","r9","error","error","error","error","error","error","error","error","error","error","error"
1,"error","error","error","error","error","error","error","error","s12","error","error","error","error","error","error","error","error","error","error","error","error","error","r23","error","error","error","error","error","error","error","error","error","error","error"
0,"r3","error","error","error","error","error","error","error","error","error","error","s7","s2","error","error","error","error","error","error","error","error","error","error","s1","error","s4","error","error","error","error","error","error","error","error"
13,"error","error","error","error","s22","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
14,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","r9","error","error","error","error","error","error","error","error","error","error","error"
15,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s23","error","error","error","error","error","error","error","error","error","error","error"
16,"error","error","error","error","s25","error","error","s26","error","error","error","error","error","r16","error","error","r16","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
17,"error","error","error","error","error","error","error","error","error","error","error","error","error","s27","error","error","r15","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
18,"error","error","error","error","s29","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
19,"r1","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
20,"r2","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
21,"error","error","error","r25","error","error","error","error","error","error","error","error","s14","error","error","error","error","error","error","error","error","error","error","error","error","s4","error","error","error","error","error","error","error","error"
22,"error","error","error","r25","error","error","error","error","error","error","error","error","s14","error","error","error","error","error","error","error","error","error","error","error","error","s4","error","error","error","error","error","error","error","error"
23,"error","error","error","error","error","error","error","s34","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
24,"error","error","error","error","error","error","error","error","error","error","error","error","error","s35","error","error","r8","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
25,"error","error","error","r25","error","error","error","error","error","error","error","error","s14","error","error","error","error","error","error","error","error","error","error","error","error","s4","error","error","error","error","error","error","error","error"
26,"error","error","error","error","s49","error","error","error","error","s42","error","error","error","error","error","error","error","error","error","error","s39","error","s126","error","s38","error","s45","s52","error","error","error","error","error","error"
27,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s59","error","error","error","error","error","error","error","error","error","error","error"
28,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s61","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
59,"error","error","error","error","error","error","error","s26","error","error","error","error","error","r16","error","error","r16","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
60,"error","error","error","error","error","error","error","error","error","error","error","error","error","s27","error","error","r15","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
61,"r13","error","error","error","r13","r13","r13","error","error","r13","error","r13","r13","error","error","error","r13","r13","r13","error","r13","error","r13","r13","r13","r13","r13","r13","error","error","error","error","error","error"
62,"error","error","error","s98","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
63,"error","error","error","error","error","error","error","error","error","error","error","error","s14","error","error","error","error","error","error","error","error","error","error","error","error","s4","error","error","error","error","error","error","error","error"
64,"error","error","error","r24","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
65,"error","error","error","r28","error","error","error","error","error","error","error","error","error","r28","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
66,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s100","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
67,"error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error","s100","error","error","error","error","error","error","error","error","error","error","error","error","error","error","error"
